id,label,term,requisites
1,MATH 100,1,
2,DATA 101,1,
3,MATH 101,1,1
4,MATH 221,1,3
5,STAT 230,1,3;2
6,BIOL 116,1,
7,BIOL 117,1,
8,BIOL 122,1,
9,BIOL 125,1,
10,BIOL 131,1,
11,BIOL 133,1,
12,CHEM 111,1,
13,CHEM 121,1,
14,CHEM 113,1,
15,CHEM 123,1,
16,EESC 111,1,
17,EESC 121,1,
18,PHYS 111,1,
19,PHYS 112,1,
20,PHYS 121,1,
21,PHYS 122,1,
22,COSC 111,1,
23,COSC 121,1,
24,ENGL 109,1,
25,ENGL 112,1,
26,ENGL 113,1,
27,ENGL 114,1,
28,ENGL 150,1,
29,ENGL 151,1,
30,ENGL 153,1,
31,ENGL 154,1,
32,ENGL 155,1,
33,ENGL 156,1,
34,CORH 203,1,
35,MATH 200,1,
36,MATH 220,1,
37,MATH 222,1,
38,MATH 225,1,
39,STAT 203,1,
40,STAT 205,1,
41,COSC 222,1,
42,DATA 310,1,40;4;65
43,DATA 311,1,40;65;22;66;67;68;69
44,DATA 315,1,
45,COSC 304,1,
46,STAT 303,1,
47,PHIL 331,1,
48,STAT 400,1,
49,STAT 401,1,
50,STAT 403,1,
51,STAT 406,1,
52,COSC 322,1,
53,COSC 329,1,
54,COSC 344,1,
55,COSC 421,1,
56,PHYS 420,1,
57,MATH 303,1,
58,MATH 307,1,
59,MATH 327,1,
60,MATH 409,1,
61,DATA 301,1,
62,DATA 405,1,
63,DATA 407,1,
64,DATA 410,1,
65,STAT 230,1,
66,APSC 254,1,
67,BIOL 202,1,
68,PSYO 373,1,
69,APSC 177,1,
